IOName,Designation
MANJUNATH. K   (ASI),ASI
M.G.SATYANARAYANRAO   (Dy.SP),Dy.SP
DURGA PRASAD K.M.   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
MANJUNATH. K   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
SREENIVASA RAO M   (PI),PI
MAZEED.U   (HC),HC
PAMPANNA J   (ASI),ASI
NIRANJANA B   (PI),PI
NIRANJANA B   (PI),PI
MANJUNATH. K   (ASI),ASI
MANJUNATH. K   (ASI),ASI
NIRANJANA B   (PI),PI
PEERA.S   (ASI),ASI
NIRANJANA B   (PI),PI
MAZEED.U   (HC),HC
NIRANJANA B   (PI),PI
Y S HANUMANTHAPPA   (PI),PI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
MAZEED.U   (HC),HC
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
NIRANJANA B   (PI),PI
NIRANJANA B   (PI),PI
LAXMAN B   (ASI),ASI
MAZEED.U   (HC),HC
Y S HANUMANTHAPPA   (PI),PI
MANJUNATH. K   (ASI),ASI
BAIRAPPA G   (ASI),ASI
R S BIRADAR   (PI),PI
MAHALINGAPPA   (HC),HC
NAGARAJ.S   (HC),HC
NAGARAJ.S   (HC),HC
NIRANJANA B   (PI),PI
MAHALINGAPPA   (HC),HC
NAGARAJ.S   (HC),HC
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
R S BIRADAR   (PI),PI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
MAHALINGAPPA   (HC),HC
MALLIKARJUN B   (PI),PI
BAIRAPPA G   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
Y S HANUMANTHAPPA   (PI),PI
Y S HANUMANTHAPPA   (PI),PI
BAIRAPPA G   (ASI),ASI
M.G.SATYANARAYANRAO   (Dy.SP),Dy.SP
MANJUNATH. K   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
MAZEED.U   (HC),HC
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
MANJUNATH. K   (ASI),ASI
HONNAPPA V.   (PSI),PSI
NIRANJANA B   (PI),PI
VANI P.   (PSI),PSI
BEERAPPA K.   (HC),HC
MANJUNATH. K   (ASI),ASI
BAIRAPPA G   (ASI),ASI
VANI P.   (PSI),PSI
VANI P.   (PSI),PSI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
MANJUNATH. K   (ASI),ASI
LAXMAN M   (PSI),PSI
MANJUNATH. K   (ASI),ASI
NIRANJANA B   (PI),PI
BEERAPPA K.   (HC),HC
SHARADA T M   (PSI),PSI
NIRANJANA B   (PI),PI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
MANJUNATH. K   (ASI),ASI
BAIRAPPA G   (ASI),ASI
MOHAMMED YOUNUS. S  (HC),HC
MOHAMMED YOUNUS. S  (HC),HC
MOHAMMED YOUNUS. S  (HC),HC
MOHAMMED YOUNUS. S  (HC),HC
MOHAMMED YOUNUS. S  (HC),HC
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
Y S HANUMANTHAPPA   (PI),PI
VANI P.   (PSI),PSI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
NIRANJANA B   (PI),PI
LAXMAN B   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
DURGA PRASAD K.M.   (ASI),ASI
LAXMAN B   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
VANI P.   (PSI),PSI
LAXMAN B   (ASI),ASI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
NIRANJANA B   (PI),PI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
VANI P.   (PSI),PSI
NIRANJANA B   (PI),PI
BAIRAPPA G   (ASI),ASI
BAIRAPPA G   (ASI),ASI
NIRANJANA B   (PI),PI
SRINIVAS P   (HC),HC
LAXMAN B   (ASI),ASI
BAIRAPPA G   (ASI),ASI
VANI P.   (PSI),PSI
VANI P.   (PSI),PSI
RAMANNA H.   (PSI),PSI
MARESH.K.S   (ASI),ASI
HANUMANTHA   (PSI),PSI
PEERA.S   (ASI),ASI
THYAGARAJAN S   (PSI),PSI
NARRA V JAYA KRISHNA   (HC),HC
MANJUNATH. K   (ASI),ASI
SRINIVASALU.M   (ASI),ASI
PEERA.S   (ASI),ASI
PEERA.S   (ASI),ASI
PAMPAPATHI N   (ASI),ASI
PEERA.S   (ASI),ASI
NIRANJANA B   (PI),PI
NAGARAJ.S   (HC),HC
NAGARAJ.S   (HC),HC
NAGARAJ.S   (HC),HC
NIRANJANA B   (PI),PI
SRINIVASALU.M   (ASI),ASI
SRINIVASALU.M   (ASI),ASI
NAGARAJ.S   (HC),HC
SRINIVAS P   (HC),HC
RAMANNA H.   (PSI),PSI
SHARADA T M   (PSI),PSI
MAZEED.U   (HC),HC
NIRANJANA B   (PI),PI
RAMANNA H.   (PSI),PSI
MARESH.K.S   (ASI),ASI
Geetanjali   (PSI),PSI
MAHANTESH.T   (HC),HC
NARRA V JAYA KRISHNA   (HC),HC
MALLIKARJUNA.Y   (ASI),ASI
THYAGARAJAN S   (PSI),PSI
NAGARAJ.S   (HC),HC
SRINIVASALU.M   (ASI),ASI
THYAGARAJAN S   (PSI),PSI
MANJUNATH. K   (ASI),ASI
VENKATESH   (Dy.SP),Dy.SP
NIRANJANA B   (PI),PI
MARESH.K.S   (ASI),ASI
NAWAB.M   (ASI),ASI
N SATHEESH   (PI),PI
RAMANNA H.   (PSI),PSI
RAMANNA H.   (PSI),PSI
THYAGARAJAN S   (PSI),PSI
RAMANNA H.   (PSI),PSI
PAMPAPATHI N   (ASI),ASI
PAMPAPATHI N   (ASI),ASI
LAXMIDEVI   (PSI),PSI
N SATHEESH   (PI),PI
N SATHEESH   (PI),PI
NARASIMHA K.   (PSI),PSI
SRINIVASALU.M   (ASI),ASI
KHAJA MODIN   (HC),HC
SANTOSH B DABBIN   (PSI),PSI
NAGARAJ.S   (HC),HC
PAMPAPATHI N   (ASI),ASI
RAMANNA H.   (PSI),PSI
GADILINGAPPA K.J.   (HC),HC
N SATHEESH   (PI),PI
RAMANNA H.   (PSI),PSI
SANTOSH B DABBIN   (PSI),PSI
LAXMIDEVI   (PSI),PSI
RAMANNA H.   (PSI),PSI
N SATHEESH   (PI),PI
N SATHEESH   (PI),PI
RAMANNA H.   (PSI),PSI
SANTOSH B DABBIN   (PSI),PSI
PAMPAPATHI N   (ASI),ASI
SANTOSH B DABBIN   (PSI),PSI
THYAGARAJAN S   (PSI),PSI
THYAGARAJAN S   (PSI),PSI
N SATHEESH   (PI),PI
VIJAY BASKAR REDDY Y   (ASI),ASI
MALLIKARJUNA.Y   (ASI),ASI
MAHANTESH.T   (HC),HC
KHAJA MODIN   (HC),HC
SANTOSH B DABBIN   (PSI),PSI
GADILINGAPPA K.J.   (HC),HC
N SATHEESH   (PI),PI
SAIFULLA D.M.   (HC),HC
N SATHEESH   (PI),PI
N SATHEESH   (PI),PI
KHAJA MODIN   (HC),HC
N SATHEESH   (PI),PI
N SATHEESH   (PI),PI
N SATHEESH   (PI),PI
SANTOSH B DABBIN   (PSI),PSI
SAIFULLA D.M.   (HC),HC
N SATHEESH   (PI),PI
KHAJA MODIN   (HC),HC
N SATHEESH   (PI),PI
N SATHEESH   (PI),PI
NARASIMHA K.   (PSI),PSI
N SATHEESH   (PI),PI
SAIFULLA D.M.   (HC),HC
N SATHEESH   (PI),PI
PAMPAPATHI N   (ASI),ASI
PAMPAPATHI N   (ASI),ASI
BASAWARAJESHWARI   (PSI),PSI
PAMPAPATHI N   (ASI),ASI
SAVITHA RANI D.   (PSI),PSI
SAVITHA RANI D.   (PSI),PSI
HANUMANTHAPPA G.   (PSI),PSI
MALLIKARJUNA G   (ASI),ASI
SAVITHA RANI D.   (PSI),PSI
BASAVARAJU.K   (ASI),ASI
MALLIKARJUNA G   (ASI),ASI
SHEKARAPPA H   (Dy.SP),Dy.SP
SHANMUKHAPPA.G.R.   (PI),PI
SAVITHA RANI D.   (PSI),PSI
POMPANNA A.   (HC),HC
SUBRAMANYAM.G   (PSI),PSI
MALAKAPPA N SINDHUR   (PI),PI
MALAKAPPA N SINDHUR   (PI),PI
Santhosh N   (HC),HC
MALAKAPPA N SINDHUR   (PI),PI
ANSAR BASHA.H   (HC),HC
MALAKAPPA N SINDHUR   (PI),PI
ASHOK MYNAHALLI   (ASI),ASI
SHANKARAPPA.Y   (ASI),ASI
SHANKARAPPA.Y   (ASI),ASI
BASAVARAJU.K   (ASI),ASI
Santhosh N   (HC),HC
PRABHAVATHI K   (HC),HC
HONNURAPPA B   (ASI),ASI
CHANDAN GOPAL V   (PI),PI
SUBHASH CHANDRA T   (PI),PI
VASUKUMAR K B BHOJAP   (PI),PI
TAJUDDEEN P.   (HC),HC
LAWRANCE V S A   (PSI),PSI
SRINIVASA H.   (HC),HC
MALLIKARJUNA S.   (HC),HC
RAMDAS B.   (HC),HC
VENKATA SWAMY N.   (PSI),PSI
ALLABAKSHI U.   (HC),HC
VASU B.S.   (PSI),PSI
MANJULA K   (HC),HC
VENKATA SWAMY N.   (PSI),PSI
SUBHANA SAB H   (HC),HC
K.RANGAIAH   (PSI),PSI
G C JANTIKATTI   (HC),HC
I.S.GURUNATH   (PI),PI
M L BABALESHWAR   (ASI),ASI
D H MULLA   (HC),HC
J M KALIMIRCHI   (PI),PI
S R ULAVI   (ASI),ASI
A K AGSAR   (ASI),ASI
S S SIMANI   (PI),PI
L B KOLYAGOL   (ASI),ASI
L B KOLYAGOL   (ASI),ASI
GANGAPPA KAREPPA MELINAMANI (HC),HC
S S SIMANI   (PI),PI
A M YARAGATTI   (ASI),ASI
Kumar B Hittalamani   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
Kumar B Hittalamani   (PSI),PSI
Kumar B Hittalamani   (PSI),PSI
Rafeeq Ahammad Abdulsaheb Sayyad (HC),HC
Kumar B Hittalamani   (PSI),PSI
Kumar B Hittalamani   (PSI),PSI
Kumar B Hittalamani   (PSI),PSI
Kumar B Hittalamani   (PSI),PSI
Suresh Bendegumbal   (PI),PI
Girish S V   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
Pralhad Ramappa Chennagiri (PI),PI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
S Y TALAWAR   (HC),HC
S Y TALAWAR   (HC),HC
Shankaragouda Basanagoudar  (PI),PI
R B Basargi   (ADDL. SP),ADDL. SP
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
D.SANTHOSHKUMAR   (PI),PI
SHEKARAPPA H   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
K S SANADI   (ASI),ASI
R B Basargi   (ADDL. SP),ADDL. SP
S K BAJANTRI   (ASI),ASI
S K BAJANTRI   (ASI),ASI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
G.N.INCHAL.   (HC),HC
G.N.INCHAL.   (HC),HC
G.N.INCHAL.   (HC),HC
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
SHEKARAPPA H   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
S K BAJANTRI   (ASI),ASI
SHEKARAPPA H   (Dy.SP),Dy.SP
Suresh Bendegumbal   (PI),PI
HAJJE V S   (ASI),ASI
YASHAVANTH YAMANAPPA RAMOJI (ASI),ASI
U S AWATI   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
Suresh Bendegumbal   (PI),PI
M S PATIL ASI ATHANI   (ASI),ASI
Suresh Bendegumbal   (PI),PI
U S AWATI   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
SHEKARAPPA H   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
Suresh Bendegumbal   (PI),PI
SHEKARAPPA H   (Dy.SP),Dy.SP
YASHAVANTH YAMANAPPA RAMOJI (ASI),ASI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
G.N.INCHAL.   (HC),HC
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Suresh Bendegumbal   (PI),PI
YASHAVANTH YAMANAPPA RAMOJI (ASI),ASI
M S PATIL ASI ATHANI   (ASI),ASI
Suresh Bendegumbal   (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
Suresh Bendegumbal   (PI),PI
U S AWATI   (PSI),PSI
K S SANADI   (ASI),ASI
S G WALIKI   (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
D.SANTHOSHKUMAR   (PI),PI
SHEKARAPPA H   (Dy.SP),Dy.SP
M S PATIL ASI ATHANI   (ASI),ASI
M S PATIL ASI ATHANI   (ASI),ASI
Girish S V   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
Suresh Bendegumbal   (PI),PI
Shankaragouda Basanagoudar  (PI),PI
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
Suresh Bendegumbal   (PI),PI
S G WALIKI   (ASI),ASI
S G WALIKI   (ASI),ASI
KERIKAI M A   (ASI),ASI
U S AWATI   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
K R GUDAJ   (PSI),PSI
Suresh Bendegumbal   (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
M I DINDIGATTI   (HC),HC
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
T M NAGRAL   (HC),HC
Maruti Pundalikappa Waghamudi (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
K R GUDAJ   (PSI),PSI
U S AWATI   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
Pawadi Malagoudar   (HC),HC
SHEKARAPPA H   (Dy.SP),Dy.SP
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Pawadi Malagoudar   (HC),HC
KUMAR HADAKAR   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
S G WALIKI   (ASI),ASI
U S AWATI   (PSI),PSI
K R GUDAJ   (PSI),PSI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
Girish S V   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
SHEKARAPPA H   (Dy.SP),Dy.SP
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
M I DINDIGATTI   (HC),HC
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
ALISAB   (PI),PI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
K S SANADI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
U S AWATI   (PSI),PSI
S G WALIKI   (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
G.N.INCHAL.   (HC),HC
KUMAR HADAKAR   (PSI),PSI
U S AWATI   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
U S AWATI   (PSI),PSI
L S AJJANAGI   (HC),HC
U S AWATI   (PSI),PSI
K S SANADI   (ASI),ASI
K S SANADI   (ASI),ASI
S G WALIKI   (ASI),ASI
Pawadi Malagoudar   (HC),HC
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
U S AWATI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
P NAGARAJ   (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
Pawadi Malagoudar   (HC),HC
K S SANADI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Girish S V   (Dy.SP),Dy.SP
S G WALIKI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
M S PATIL ASI ATHANI   (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
M D GHORI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
M D GHORI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
U S AWATI   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
G.N.INCHAL.   (HC),HC
S R ARBENCHI   (HC),HC
M S PATIL ASI ATHANI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
M S PATIL ASI ATHANI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
M D GHORI   (PSI),PSI
M D GHORI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
L S AJJANAGI   (HC),HC
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
M S PATIL ASI ATHANI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
L S AJJANAGI   (HC),HC
Shankaragouda Basanagoudar  (PI),PI
S P PATIL   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Girish S V   (Dy.SP),Dy.SP
M S PATIL ASI ATHANI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
P NAGARAJ   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
G H HONAWAD   (HC),HC
ARER V G   (ASI),ASI
M D GHORI   (PSI),PSI
Pawadi Malagoudar   (HC),HC
S P PATIL   (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
R R WAGHAMORE   (HC),HC
Shankaragouda Basanagoudar  (PI),PI
S.B.SHINGE   (ASI),ASI
M D GHORI   (PSI),PSI
Pawadi Malagoudar   (HC),HC
KUMAR HADAKAR   (PSI),PSI
M D GHORI   (PSI),PSI
S.B.SHINGE   (ASI),ASI
M D GHORI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
Pawadi Malagoudar   (HC),HC
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
Girish S V   (Dy.SP),Dy.SP
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
S P SAVADI   (ASI),ASI
S.B.SHINGE   (ASI),ASI
S G WALIKI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
P B PATIL   (HC),HC
SHIVANAND M KARAJOL   (PSI),PSI
S G WALIKI   (ASI),ASI
M D GHORI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
S G WALIKI   (ASI),ASI
Girish S V   (Dy.SP),Dy.SP
KUMAR HADAKAR   (PSI),PSI
SRIHARSHA.N   (Dy.SP),Dy.SP
M D GHORI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
S.B.SHINGE   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
SHIVARAJ  NAIKWADI (PSI),PSI
ARER V G   (ASI),ASI
S G WALIKI   (ASI),ASI
SHIVANAND M KARAJOL   (PSI),PSI
S P SAVADI   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
M D GHORI   (PSI),PSI
Girish S V   (Dy.SP),Dy.SP
S G WALIKI   (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
P B PATIL   (HC),HC
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
SHIVARAJ  NAIKWADI (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Maruti Pundalikappa Waghamudi (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
Pawadi Malagoudar   (HC),HC
SHIVASHANKAR MUKARI   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
P B PATIL   (HC),HC
KUMAR HADAKAR   (PSI),PSI
Girish S V   (Dy.SP),Dy.SP
KUMAR HADAKAR   (PSI),PSI
SHIVARAJ  NAIKWADI (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
Maruti Pundalikappa Waghamudi (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
R R KHOT   (HC),HC
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
Pawadi Malagoudar   (HC),HC
S P SAVADI   (ASI),ASI
ARER V G   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
ARER V G   (ASI),ASI
KUMAR HADAKAR   (PSI),PSI
JYOTI RAJU ASODE (WHC),WHC
SHIVASHANKAR MUKARI   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
JYOTI RAJU ASODE (WHC),WHC
SHIVANAND M KARAJOL   (PSI),PSI
JYOTI RAJU ASODE (WHC),WHC
KUMAR HADAKAR   (PSI),PSI
KUMAR HADAKAR   (PSI),PSI
P B PATIL   (HC),HC
SHRIPAD JALDE DASHARAT JALADE (Dy.SP),Dy.SP
KUMAR HADAKAR   (PSI),PSI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
ARER V G   (ASI),ASI
Shankaragouda Basanagoudar  (PI),PI
KUMAR HADAKAR   (PSI),PSI
JYOTI RAJU ASODE (WHC),WHC
ARER V G   (ASI),ASI
G H HONAWAD   (HC),HC
